Episode_Return,Episode_Return_smooth,env_step
58.0,16.979999999999997,1250
31.0,17.34,1275
53.0,18.08,1300
34.0,18.5,1325
18.0,18.56,1350
21.0,18.72,1375
25.0,19.000000000000004,1400
18.0,19.060000000000002,1425
33.0,19.560000000000002,1450
31.0,19.98,1475
58.0,20.979999999999997,1500
18.0,21.16,1525
14.0,21.240000000000002,1550
16.0,21.36,1575
13.0,21.420000000000005,1600
22.0,21.66,1625
12.0,21.679999999999996,1650
14.0,21.799999999999997,1675
19.0,21.96,1700
67.0,23.119999999999997,1725
25.0,23.439999999999998,1750
68.0,24.580000000000002,1775
38.0,24.940000000000005,1800
14.0,25.02,1825
60.0,26.020000000000003,1850
86.0,27.479999999999997,1875
33.0,27.880000000000003,1900
73.0,29.060000000000002,1925
72.0,30.300000000000004,1950
38.0,30.839999999999996,1975
147.0,33.6,2000
64.0,34.620000000000005,2025
57.0,35.32,2050
58.0,36.06,2075
52.0,36.8,2100
59.0,37.68,2125
79.0,39.08,2150
83.0,40.4,2175
16.0,40.38,2200
32.0,40.72,2225
16.0,40.78,2250
26.0,40.940000000000005,2275
43.0,41.580000000000005,2300
39.0,42.12,2325
43.0,42.21999999999999,2350
75.0,43.10000000000001,2375
41.0,43.42000000000001,2400
49.0,43.68000000000001,2425
19.0,43.48,2450
62.0,42.839999999999996,2475
42.0,42.519999999999996,2500
34.0,42.58,2525
23.0,41.980000000000004,2550
48.0,42.25999999999999,2575
24.0,42.379999999999995,2600
37.0,42.7,2625
42.0,43.04,2650
25.0,43.17999999999999,2675
35.0,43.22,2700
77.0,44.14,2725
76.0,44.50000000000001,2750
37.0,44.879999999999995,2775
50.0,45.599999999999994,2800
56.0,46.4,2825
40.0,46.940000000000005,2850
35.0,47.199999999999996,2875
27.0,47.5,2900
57.0,48.36,2925
59.0,49.16,2950
43.0,48.68,2975
48.0,49.13999999999999,3000
46.0,48.699999999999996,3025
45.0,48.84,3050
57.0,49.70000000000001,3075
85.0,50.2,3100
83.0,50.13999999999999,3125
38.0,50.24,3150
41.0,49.6,3175
33.0,48.81999999999999,3200
41.0,48.88,3225
47.0,46.879999999999995,3250
87.0,47.34,3275
65.0,47.5,3300
67.0,47.68,3325
48.0,47.599999999999994,3350
53.0,47.48,3375
105.0,48.0,3400
63.0,47.599999999999994,3425
87.0,49.019999999999996,3450
85.0,50.08,3475
138.0,52.519999999999996,3500
48.0,52.96,3525
111.0,54.31999999999999,3550
88.0,55.300000000000004,3575
89.0,56.22,3600
53.0,55.779999999999994,3625
88.0,56.72,3650
238.0,60.5,3675
94.0,61.99999999999999,3700
162.0,64.0,3725
102.0,65.2,3750
113.0,66.78,3775
222.0,70.75999999999999,3800
120.0,72.2,3825
150.0,74.72000000000001,3850
84.0,75.66000000000001,3875
84.0,76.5,3900
104.0,78.08,3925
96.0,79.3,3950
112.0,80.0,3975
187.0,82.22,4000
120.0,83.88,4025
133.0,85.54,4050
189.0,88.2,4075
207.0,91.53999999999999,4100
162.0,94.08,4125
104.0,95.61999999999999,4150
172.0,97.91999999999999,4175
295.0,102.64,4200
216.0,106.1,4225
351.0,112.16,4250
130.0,113.83999999999999,4275
152.0,115.97999999999999,4300
147.0,117.78000000000002,4325
234.0,120.76,4350
392.0,126.94,4375
500.0,136.18,4400
500.0,145.36,4425
500.0,154.70000000000002,4450
500.0,163.87999999999997,4475
253.0,168.0,4500
500.0,176.25999999999996,4525
500.0,184.95999999999998,4550
500.0,193.61999999999998,4575
286.0,198.37999999999997,4600
256.0,202.44,4625
179.0,203.92,4650
216.0,206.98,4675
363.0,212.5,4700
500.0,220.8,4725
488.0,227.8,4750
500.0,236.84000000000003,4775
500.0,244.62,4800
500.0,252.85999999999999,4825
500.0,261.08,4850
309.0,266.2,4875
413.0,272.7,4900
170.0,271.34,4925
180.0,273.06,4950
373.0,277.28000000000003,4975
220.0,279.64,5000
265.0,282.68,5025
218.0,282.59999999999997,5050
309.0,286.38,5075
186.0,287.1,5100
211.0,289.64,5125
266.0,293.28000000000003,5150
214.0,295.47999999999996,5175
369.0,300.94,5200
393.0,306.56,5225
299.0,308.79999999999995,5250
296.0,312.32,5275
209.0,313.84000000000003,5300
155.0,313.15999999999997,5325
212.0,313.26,5350
154.0,313.09999999999997,5375
233.0,315.67999999999995,5400
209.0,316.41999999999996,5425
268.0,315.88,5450
228.0,316.11999999999995,5475
186.0,312.82,5500
254.0,315.29999999999995,5525
149.0,315.24,5550
116.0,314.62,5575
118.0,312.3,5600
119.0,306.84,5625
106.0,298.96,5650
122.0,291.4,5675
150.0,284.4,5700
230.0,279.0,5725
267.0,279.28000000000003,5750
223.0,273.74000000000007,5775
238.0,268.5,5800
261.0,263.72,5825
171.0,261.42,5850
141.0,259.12,5875
183.0,259.20000000000005,5900
171.0,258.29999999999995,5925
171.0,254.45999999999995,5950
309.0,250.64,5975
249.0,245.85999999999999,6000
264.0,241.14000000000001,6025
478.0,240.7,6050
162.0,233.93999999999997,6075
311.0,230.15999999999997,6100
140.0,226.78,6125
149.0,221.50000000000003,6150
129.0,220.68,6175
165.0,220.37999999999997,6200
178.0,216.48000000000002,6225
236.0,216.79999999999998,6250
418.0,219.86,6275
329.0,222.08000000000004,6300
387.0,223.64,6325
436.0,228.64,6350
328.0,230.98000000000002,6375
194.0,229.54,6400
190.0,229.06,6425
125.0,224.18,6450
126.0,218.84,6475
178.0,216.42,6500
193.0,214.35999999999999,6525
206.0,214.29999999999998,6550
382.0,218.84,6575
485.0,224.3,6600
359.0,228.4,6625
500.0,233.73999999999998,6650
224.0,234.04,6675
206.0,232.8,6700
176.0,231.76,6725
198.0,231.99999999999997,6750
367.0,234.26000000000002,6775
224.0,235.76,6800
236.0,238.16,6825
239.0,240.57999999999998,6850
208.0,242.36,6875
234.0,244.92,6900
265.0,247.78,6925
231.0,249.39999999999998,6950
316.0,251.12,6975
500.0,255.78,7000
185.0,255.01999999999998,7025
202.0,254.29999999999998,7050
305.0,255.18,7075
301.0,257.78000000000003,7100
199.0,258.94,7125
359.0,262.46,7150
217.0,263.38,7175
239.0,264.73999999999995,7200
260.0,263.76,7225
186.0,262.5,7250
212.0,261.46000000000004,7275
216.0,256.22,7300
267.0,258.32,7325
184.0,255.78,7350
249.0,257.96,7375
205.0,259.08,7400
284.0,262.18,7425
340.0,265.68,7450
168.0,265.48,7475
241.0,265.58,7500
236.0,261.94,7525
300.0,261.35999999999996,7550
230.0,258.22,7575
387.0,257.24,7600
322.0,257.12,7625
378.0,260.8,7650
257.0,262.14,7675
300.0,265.64,7700
169.0,266.49999999999994,7725
205.0,267.04,7750
140.0,265.98,7775
155.0,264.96,7800
188.0,261.08,7825
164.0,254.66,7850
180.0,251.08,7875
191.0,244.9,7900
223.0,244.88,7925
262.0,245.99999999999997,7950
150.0,245.48000000000002,7975
271.0,246.94000000000003,8000
181.0,243.22,8025
171.0,242.16,8050
124.0,239.92000000000002,8075
167.0,238.48,8100
270.0,239.72,8125
278.0,240.6,8150
241.0,240.12,8175
194.0,239.38000000000002,8200
133.0,235.72,8225
180.0,229.32000000000002,8250
194.0,229.49999999999997,8275
153.0,228.52,8300
164.0,225.70000000000002,8325
179.0,223.26000000000002,8350
84.0,220.95999999999998,8375
90.0,215.57999999999998,8400
139.0,214.01999999999998,8425
93.0,211.1,8450
132.0,208.54000000000002,8475
472.0,214.26000000000002,8500
156.0,213.14,8525
238.0,213.57999999999998,8550
87.0,209.98,8575
100.0,208.29999999999998,8600
287.0,209.06000000000003,8625
53.0,206.02,8650
57.0,201.48,8675
83.0,196.34,8700
131.0,195.60000000000002,8725
111.0,192.99999999999997,8750
47.0,189.22,8775
95.0,185.12,8800
218.0,184.88,8825
173.0,180.60000000000002,8850
407.0,182.3,8875
408.0,182.89999999999998,8900
344.0,184.64,8925
254.0,183.72,8950
279.0,185.92000000000002,8975
43.0,182.68,9000
173.0,183.34,9025
259.0,185.42000000000002,9050
218.0,186.01999999999998,9075
248.0,187.70000000000002,9100
191.0,187.92000000000002,9125
212.0,188.34,9150
220.0,188.28000000000003,9175
243.0,187.89999999999998,9200
254.0,189.98000000000002,9225
279.0,190.14000000000004,9250
312.0,192.76,9275
87.0,191.08,9300
491.0,198.42,9325
310.0,201.28,9350
230.0,200.48000000000002,9375
90.0,196.72,9400
262.0,197.14000000000001,9425
245.0,198.16,9450
300.0,201.5,9475
184.0,201.57999999999998,9500
202.0,201.74,9525
132.0,201.31999999999996,9550
126.0,200.56,9575
178.0,200.54,9600
146.0,201.78,9625
135.0,202.68,9650
158.0,203.06000000000003,9675
158.0,204.35999999999999,9700
148.0,204.68,9725
134.0,197.92,9750
17.0,195.14,9775
166.0,193.70000000000002,9800
19.0,192.33999999999997,9825
138.0,193.10000000000002,9850
122.0,189.79999999999998,9875
13.0,189.00000000000003,9900
115.0,190.16000000000003,9925
25.0,188.99999999999997,9950
19.0,186.76,9975
47.0,185.48000000000002,10000
155.0,187.64000000000001,10025
25.0,186.23999999999998,10050
262.0,187.12,10075
353.0,190.72,10100
500.0,192.58,10125
409.0,192.60000000000002,10150
134.0,188.4,10175
500.0,193.31999999999996,10200
500.0,197.73999999999998,10225
500.0,206.87999999999997,10250
500.0,213.42,10275
500.0,218.23999999999998,10300
267.0,219.22,10325
109.0,216.44000000000003,10350
429.0,221.20000000000002,10375
348.0,223.92000000000002,10400
281.0,225.14000000000001,10425
236.0,225.0,10450
251.0,224.94,10475
187.0,223.1,10500
157.0,220.0,10525
175.0,221.76000000000002,10550
171.0,215.36,10575
156.0,212.28000000000003,10600
38.0,208.44000000000003,10625
216.0,210.96,10650
272.0,211.16,10675
240.0,211.06000000000003,10700
244.0,209.94,10725
294.0,212.14000000000001,10750
223.0,212.56,10775
236.0,214.64000000000001,10800
227.0,216.66,10825
169.0,216.48000000000002,10850
190.0,217.35999999999999,10875
226.0,219.17999999999998,10900
292.0,221.86,10925
354.0,225.78000000000003,10950
395.0,230.71999999999997,10975
402.0,236.08,11000
